Geno,ABA_uM,PG_d5,GI,Date,AR_wk,PG_Std,GI_Std,
Louise,0,100,0.95,2014.03,7,0,0.03,
Louise,2,75,0.55,2014.03,7,5,0.02,
Louise,5,93,0.49,2014.03,7,13,0.08,
Louise,10,79,0.50,2014.03,7,17,0.10,
Zak,0,100,0.92,2014.03,7,0,0.01,
Zak,2,100,0.89,2014.03,7,0,0.01,
Zak,5,100,0.87,2014.03,7,0,0.01,
Zak,10,100,0.76,2014.03,7,0,0.10,
ERA8.1,0,94,0.53,2014.03,7,8,0.06,
ERA8.1,2,11,0.07,2014.03,7,NA,NA,
ERA8.1,5,4,0.03,2014.03,7,6,0.05,
ERA8.1,10,0,0.00,2014.03,7,0,0.00,
Louise,2,0,0.00,2014.02,1,0,0.00,
Zak,2,50,0.26,2014.02,1,0,0.07,
ERA8.1,2,6,0.02,2014.02,1,7.856742013,0.05,
ERA8.2,2,15,0.09,2014.02,1,7.071067812,0.08,
ERA8.3,2,5,0.02,2014.02,1,7.071067812,0.04,
ERA8.4,2,5,0.03,2014.02,1,7.071067812,0.08,
Louise,2,15,0.09,2014.02,2,7.071067812,0.08,
Zak,2,35,0.19,2014.02,2,7.071067812,0.04,
ERA8.1,2,0,0.00,2014.02,2,0,0.00,
ERA8.2,2,10,0.03,2014.02,2,0,0.03,
ERA8.3,2,20,0.10,2014.02,2,0,0.00,
ERA8.4,2,25,0.11,2014.02,2,7.071067812,0.00,
Louise,2,37,0.14,2014.02,3,4.714045208,0.00,
Zak,2,45,0.25,2014.02,3,35.35533906,0.37,
ERA8.1,2,15,0.06,2014.02,3,21.21320344,0.14,
ERA8.2,2,15,0.06,2014.02,3,7.071067812,0.03,
ERA8.3,2,15,0.06,2014.02,3,7.071067812,0.04,
ERA8.4,2,15,0.08,2014.02,3,7.071067812,0.13,
Louise,2,15,0.05,2014.02,5,7.071067812,0.01,
Zak,2,65,0.30,2014.02,5,7.071067812,0.13,
ERA8.1,2,20,0.10,2014.02,5,14.14213562,0.24,
ERA8.2,2,10,0.03,2014.02,5,14.14213562,0.06,
ERA8.3,2,5,0.01,2014.02,5,7.071067812,0.01,
ERA8.4,2,20,0.12,2014.02,5,14.14213562,0.17,
Louise,2,26,0.12,2014.02,6,20.42752923,0.31,
Zak,2,94,0.55,2014.02,6,7.856742013,0.03,
ERA8.1,2,0,0.00,2014.02,6,0,0.00,
ERA8.2,2,0,0.00,2014.02,6,0,0.00,
ERA8.3,2,6,0.03,2014.02,6,7.856742013,0.09,
ERA8.4,2,5,0.01,2014.02,6,7.071067812,0.01,
Louise,0,5,0.07,2014.02,1,7.071067812,0.27,
Zak,0,50,0.26,2014.02,1,14.14213562,0.17,
ERA8.1,0,30,0.12,2014.02,1,14.14213562,0.03,
ERA8.2,0,30,0.14,2014.02,1,14.14213562,0.24,
ERA8.3,0,20,0.12,2014.02,1,14.14213562,0.18,
ERA8.4,0,5,0.02,2014.02,1,7.071067812,0.04,
Louise,0,40,0.23,2014.02,2,28.28427125,0.24,
Zak,0,40,0.21,2014.02,2,14.14213562,0.23,
ERA8.1,0,15,0.07,2014.02,2,21.21320344,0.18,
ERA8.2,0,15,0.08,2014.02,2,7.071067812,0.13,
ERA8.3,0,5,0.03,2014.02,2,7.071067812,0.08,
ERA8.4,0,10,0.06,2014.02,2,14.14213562,0.17,
Louise,0,40,0.21,2014.02,3,42.42640687,0.20,
Zak,0,60,0.34,2014.02,3,0,0.00,
ERA8.1,0,15,0.08,2014.02,3,7.071067812,0.04,
ERA8.2,0,5,0.03,2014.02,3,7.071067812,0.08,
ERA8.3,0,0,0.00,2014.02,3,0,0.00,
ERA8.4,0,25,0.11,2014.02,3,7.071067812,0.01,
Louise,0,10,0.07,2014.02,4,0,0.17,
Zak,0,60,0.48,2014.02,4,0,0.11,
ERA8.1,0,10,0.06,2014.02,4,14.14213562,0.17,
ERA8.2,0,20,0.09,2014.02,4,0,0.07,
ERA8.3,0,15,0.07,2014.02,4,21.21320344,0.20,
ERA8.4,0,30,0.13,2014.02,4,0,0.04,
Louise,0,25,0.19,2014.02,5,21.21320344,0.37,
Zak,0,100,0.74,2014.02,5,0,0.23,
ERA8.1,0,5,0.02,2014.02,5,7.071067812,0.04,
ERA8.2,0,25,0.11,2014.02,5,21.21320344,0.25,
ERA8.3,0,15,0.08,2014.02,5,21.21320344,0.21,
ERA8.4,0,5,0.03,2014.02,5,7.071067812,0.08,
Louise,0,55,0.42,2014.02,6,35.35533906,0.76,
Zak,0,100,0.80,2014.02,6,0,0.00,
ERA8.1,0,0,0.00,2014.02,6,0,0.00,
ERA8.2,0,0,0.00,2014.02,6,0,0.00,
ERA8.3,0,5,0.03,2014.02,6,7.071067812,0.08,
ERA8.4,0,10,0.08,2014.02,6,0,0.00,
