Group,color,dots,Date Day 0,Generation,Name,PG_avg,Biol_Reps,Day_N,Set,GI_R1,PG_DayN_R1,PG_DayNStD_R1,GI_R2,PG_D5_R2,PG_D5StD_R2,GI_R3,PG_D5_R3,PG_D5StD_R3,Total Seed,AR,ABA,Stdev btwn biol reps,Primer6,P20,P34,MKK3,P29
ERA8,P,L,2.02.2015,BC3F3,ERA8.9,10,2,5,1-300 5.2 set 1,0.066666667,13.33333333,23.09401077,0.026666667,6.666666667,5.773502692,-,-,-,-,-,2,4.714045208,B,B,B,B,B
ERA8,P,L,2.02.2015,BC3F3,ERA8.9,6.666666667,2,5,1-300 5.2 set 2,0.053333333,10,10,0.006666667,3.333333333,5.773502692,-,-,-,-,-,2,4.714045208,B,B,B,B,B
ERA8,P,L,2.02.2015,BC3F3,ERA8.9,15,2,5,1-300 5.2 set 3,0.066666667,16.66666667,11.54700538,0.06,13.33333333,11.54700538,-,-,-,-,-,2,2.357022604,B,B,B,B,B
ERA8,P,L,2.02.2015,BC3F3,ERA8.9,8.333333333,2,5,1-300 5.2 set 4,0.02,6.666666667,5.773502692,0.033333333,10,0,-,-,-,-,-,2,2.357022604,B,B,B,B,B
ERA8,P,L,7.25.2017,BC3F3,ERA8.1,34.72222222,3,5,948 5.2 rep1,0.08,26.66666667,11.54700538,0.08,26.66666667,15.27525232,0.191666667,50.83333333,18.08544535,30,41d,5uM,13.95263151,B,B,B,B,B
ERA8,P,L,7.25.2017,BC3F3,ERA8.2,20.27777778,3,5,948 5.2 rep1,0.041666667,10.83333333,10.10362971,0.08,26.66666667,5.773502692,0.1,23.33333333,25.16611478,27,41d,5uM,8.347210667,B,B,B,B,B
ERA8,P,L,7.25.2017,BC3F3,ERA8.3,27.88359788,3,5,948 5.2 rep1,0.013333333,6.666666667,5.773502692,0.031746032,15.87301587,16.72325993,0.183333333,61.11111111,22.94821061,30,41d,5uM,29.14172169,B,B,B,B,B
ERA8,P,L,7.25.2017,BC3F3,ERA8.4,13.7345679,3,5,948 5.2 rep1,0.076481481,21.2037037,16.29287632,0.006666667,3.333333333,5.773502692,0.046666667,16.66666667,11.54700538,27,41d,5uM,9.288995461,B,B,B,B,B
ERA8,P,L,12.03.2018,BC3F4,era8.1,14.28571429,1,5,F4 Hetes,,14.28571429,,-,-,-,-,-,-,,49d,2,-,B,B,B,B,B
ERA8,P,L,12.03.2018,BC3F4,era8.9.1,0,1,5,F4 Hetes,,0,,-,-,-,-,-,-,,49d,2,-,B,B,B,B,B
