Geno,ABA_uM,PG_d5,GI,Date,AR_wk,PG_Std,GI_Std
Zak..2.3.10.3,2,10.0,0.04,1.17.2014,3.5,14.1,0.08
95.6.85.4,2,0.0,0.00,1.17.2014,3.5,0.0,0.00
Zak..2.2.6,2,35.0,0.16,1.17.2014,3.5,7.1,0.04
95.3.91.4,2,10.0,0.02,1.17.2014,3.5,0.0,0.00
Zak..2.2.8,2,5.0,0.01,1.17.2014,3.5,7.1,0.01
Zak..2.3.10.3,0,30.0,0.20,1.17.2014,3.5,0.0,0.10
95.6.85.4,0,35.0,0.11,1.17.2014,3.5,7.1,0.01
Zak..2.2.6,0,80.0,0.34,1.17.2014,3.5,0.0,0.10
95.3.91.4,0,10.0,0.02,1.17.2014,3.5,0.0,0.00
Zak..2.2.8,0,10.0,0.06,1.17.2014,3.5,0.0,0.00
Zak..2.3.10.3,2,20.0,0.12,1.21.2014,4,28.3,0.38
95.6.85.4,2,0.0,0.00,1.21.2014,4,0.0,0.00
Zak..2.2.6,2,51.4,0.28,1.21.2014,4,12.1,0.04
95.3.91.4,2,15.0,0.06,1.21.2014,4,21.2,0.13
Zak..2.2.8,2,35.0,0.17,1.21.2014,4,21.2,0.03
Zak..2.3.10.3,0,70.0,0.50,1.21.2014,4,14.1,0.08
95.6.85.4,0,4.5,0.03,1.21.2014,4,6.4,0.08
Zak..2.2.6,0,80.0,0.54,1.21.2014,4,14.1,0.37
95.3.91.4,0,10.0,0.03,1.21.2014,4,0.0,0.03
Zak..2.2.8,0,35.0,0.22,1.21.2014,4,7.1,0.04
Zak..2.3.10.3,2,85.0,0.41,1.28.2014,5,21.2,0.07
95.6.85.4,2,5.0,0.02,1.28.2014,5,7.1,0.04
Zak..2.2.6,2,95.0,0.53,1.28.2014,5,7.1,0.07
95.3.91.4,2,15.0,0.09,1.28.2014,5,7.1,0.10
Zak..2.2.8,2,65.0,0.31,1.28.2014,5,35.4,0.40
Zak..2.3.10.3,0,70.0,0.57,1.28.2014,5,14.1,0.23
95.6.85.4,0,15.0,0.06,1.28.2014,5,7.1,0.14
Zak..2.2.6,0,95.0,0.72,1.28.2014,5,7.1,0.28
95.3.91.4,0,16.1,0.05,1.28.2014,5,8.6,0.10
Zak..2.2.8,0,100.0,0.74,1.28.2014,5,0.0,0.13
Zak..2.3.10.3,0,80.0,0.73,-,6,14.1,0.21
95.6.85.4,0,20.0,0.09,-,6,14.1,0.23
Zak..2.2.6,0,95.0,0.73,-,6,7.1,0.27
95.3.91.4,0,5.0,0.03,-,6,7.1,0.08
Zak..2.2.8,0,80.0,0.64,-,6,0.0,0.00
Zak..2.3.10.3,2,90.0,0.42,2.11.2014,7,0.0,0.08
95.6.85.4,2,35.0,0.13,2.11.2014,7,21.2,0.17
Zak..2.2.6,2,100.0,0.55,2.11.2014,7,0.0,0.30
95.3.91.4,2,0.0,0.00,2.11.2014,7,0.0,0.00
Zak..2.2.8,2,75.0,0.43,2.11.2014,7,7.1,0.10
Zak..2.3.10.3,0,100.0,0.87,2.11.2014,7,0.0,0.03
95.6.85.4,0,15.0,0.06,2.11.2014,7,7.1,0.04
Zak..2.2.6,0,100.0,0.86,2.11.2014,7,0.0,0.13
95.3.91.4,0,5.0,0.02,2.11.2014,7,7.1,0.04
Zak..2.2.8,0,100.0,0.76,2.11.2014,7,0.0,0.07
Zak..2.3.10.3,2,90.0,0.64,2.18.2014,8,14.1,0.30
95.6.85.4,2,0.0,0.00,,8,0.0,0.00
Zak..2.2.6,2,95.0,0.64,2.18.2014,8,7.1,0.00
95.3.91.4,2,5.0,0.02,2.18.2014,8,7.1,0.04
Zak..2.2.8,2,95.0,0.77,2.18.2014,8,7.1,0.47
Zak..2.3.10.3,0,100.0,0.91,2.18.2014,8,0.0,0.07
95.6.85.4,0,15.0,0.10,2.18.2014,8,7.1,0.14
Zak..2.2.6,0,100.0,0.88,2.18.2014,8,0.0,0.14
95.3.91.4,0,10.0,0.03,2.18.2014,8,0.0,0.03
Zak..2.2.8,0,100.0,0.86,2.18.2014,8,0.0,0.01
