Marker	chr	pos	uniqpos	chrom	Genome
A25475_1A_100	1A.1	25.034	25.034	1A	A
A1971_1A_70	1A.1	32.027	32.027	1A	A
A1896_1A_100	1A.1	35.082	35.082	1A	A
A21779_unk_100	1A.1	42.811	42.811	1A	A
A21555_unk_70	1A.1	45.134	45.134	1A	A
A7628_1A_70	1A.1	49.424	49.424	1A	A
A17778_1A_70	1A.1	49.946	49.946	1A	A
A18138_1A_100	1A.1	51.558	51.558	1A	A
A25828_1A_70	1A.1	55.215	55.215	1A	A
A7498_1A_70	1A.1	58.873	58.873	1A	A
A7861_1A_100	1A.1	59.53	59.53	1A	A
A21911_unk_100	1A.1	61.852	61.852	1A	A
A3048_unk_100	1A.1	64.316	64.316	1A	A
A14168_1A_100	1A.1	69.077	69.077	1A	A
A24948_1A_70	1A.1	72.734	72.734	1A	A
A25389_1A_100	1A.1	73.126	73.126	1A	A
A22131_unk_100	1A.1	75.163	75.163	1A	A
A10613_1A_100	1A.1	76.222	76.222	1A	A
A24285_unk_100	1A.1	77.417	77.417	1A	A
A23918_unk_70	1A.1	78.209	78.209	1A	A
A22133_1A_100	1A.1	79.821	79.821	1A	A
A21215_1A_100	1A.1	80.743	80.743	1A	A
A4274_1A_100	1A.1	81.802	81.802	1A	A
A10677_1A_70	1A.1	82.593	82.593	1A	A
A11059_1A_100	1A.1	82.722	82.722	1A	A
A11038_1A_100	1A.1	83.511	83.511	1A	A
A10652_1A_3B_70	1A.1	83.64	83.64	1A	A
A13602_1A_100	1A.1	84.295	84.295	1A	A
A17129_1A_70	1A.1	85.083	85.083	1A	A
A7281_1A_7A_70	1A.1	86.414	86.414	1A	A
A18407_1A_100	1A.1	87.471	87.471	1A	A
A13689_1A_100	1A.1	88.529	88.529	1A	A
A16692_1A_100	1A.1	89.998	89.998	1A	A
A16149_1A_100	1A.1	90.652	90.652	1A	A
A15799_1A_70	1A.1	91.043	91.043	1A	A
A5492_2A_70	1A.1	92.375	92.375	1A	A
A17727_1A_6A_70	1A.1	94.836	94.836	1A	A
A4081_1A_70	1A.1	97.009	97.009	1A	A
A3978_1A_100	1A.1	97.268	97.268	1A	A
A28659_1A_100	1A.1	99.301	99.301	1A	A
A18326_6A_100	1A.1	101.915	101.915	1A	A
A12918_1A_100	1A.1	104.973	104.973	1A	A
A7240_1A_70	1A.1	106.864	106.864	1A	A
A7604_1A_100	1A.1	107.387	107.387	1A	A
A20574_1A_100	1A.1	108.445	108.445	1A	A
A14361_1A_100	1A.1	109.503	109.503	1A	A
A13944_1A_70	1A.1	109.632	109.632	1A	A
A17974_1A_70	1A.1	110.42	110.42	1A	A
A20282_1A_70	1A.1	110.942	110.942	1A	A
A23968_1A_70	1A.1	112.003	112.003	1A	A
A13048_1A_2A_70	1A.1	112.659	112.659	1A	A
A8559_1A_70	1A.1	112.919	112.919	1A	A
A20438_1A_70	1A.1	113.711	113.711	1A	A
A17081_1A_4A_70	1A.1	115.048	115.048	1A	A
A16928_1A_100	1A.1	116.38	116.38	1A	A
A11803_1A_100	1A.1	118.274	118.274	1A	A
A11426_1A_70	1A.1	118.404	118.404	1A	A
A16989_1A_100	1A.1	120.434	120.434	1A	A
A1557_unk_70	1A.1	121.902	121.902	1A	A
A1463_1A_100	1A.1	122.69	122.69	1A	A
A1558_1A_70	1A.1	122.95	122.95	1A	A
A18595_1A_7D_70	1A.1	124.98	124.98	1A	A
A18940_unk_100	1A.1	125.239	125.239	1A	A
A6999_1A_5A_100	1A.1	126.987	126.987	1A	A
A17962_1A_7A_70	1A.1	127.775	127.775	1A	A
A18312_1A_100	1A.1	128.034	128.034	1A	A
A28778_1A_100	1A.1	128.956	128.956	1A	A
A12559_1A_70	1A.1	130.15	130.15	1A	A
A16242_unk_70	1A.1	131.208	131.208	1A	A
A16606_unk_100	1A.1	131.598	131.598	1A	A
A9418_1A_3A_100	1A.1	132.386	132.386	1A	A
A9032_1A_100	1A.1	132.776	132.776	1A	A
A26745_1A_70	1A.1	133.97	133.97	1A	A
A7399_1A_70	1A.1	135.858	135.858	1A	A
A7759_1A_100	1A.1	135.987	135.987	1A	A
A16470_1A_100	1A.1	137.876	137.876	1A	A
